res_id,name,establishment,url,address,city,city_id,locality,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,timings,average_cost_for_two,price_range,currency,highlights,aggregate_rating,rating_text,votes,photo_count,opentable_support,delivery,takeaway,cui1,cui2,cui3,cui4,cui5,cui6,cui7,cui8
18679660,Q'BA,['Bar'],https://www.zomato.com/ncr/qba-1-connaught-place-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"E-42 & 43, Inner Circle, Connaught Place, New Delhi",New Delhi,1,Connaught Place,28.63218562,77.22052027,,1,"Connaught Place, New Delhi","North Indian, Italian, Chinese, Continental, Thai",12 Noon to 1 AM,2000,4,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Serves Alcohol', 'Credit Card', 'Serves Cocktails', 'Free Wifi', 'Table reservation required', 'Air Conditioned', 'Smoking Area', 'DJ', 'Fullbar', 'Beer', 'Table booking for Groups', 'Digital Payments Accepted', 'Sneakpeek', 'Private Dining Area Available', 'Wheelchair Accessible', 'Nightlife', 'Wine', 'Indoor Seating']",4.3,Very Good,396,825,0,-1,-1,North Indian, Italian, Chinese, Continental, Thai,,,
18598686,Barcode,['Bar'],https://www.zomato.com/ncr/barcode-sector-9-dwarka-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"228, 3rd Floor, Service Centre, Sector 9, Dwarka",New Delhi,1,"Sector 9, Dwarka",28.576140000000002,77.06903,110075,1,"Sector 9, Dwarka, New Delhi","North Indian, Chinese, Italian, Continental",12 Noon to 12 Midnight,1100,3,Rs.,"['Lunch', 'Delivery', 'Dinner', 'Debit Card', 'Cash', 'Credit Card', 'Takeaway Available', 'Free Wifi', 'Wheelchair Accessible', 'Nightlife', 'Entry Fee', 'Air Conditioned', 'Wifi', 'Fullbar', 'Sneakpeek', 'Rooftop', 'Digital Payments Accepted', 'Free Parking', 'Live Music', 'Table booking recommended', 'Smoking Area', 'Live Sports Screening', 'Indoor Seating']",4.2,Very Good,848,1881,0,-1,-1,North Indian, Chinese, Italian, Continental,,,,
19014651,Tossin Pizza,['Casual Dining'],https://www.zomato.com/ncr/tossin-pizza-greater-kailash-gk-2-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"M 45, 1st Floor, M Block Market, Greater Kailash 2 (GK 2), New Delhi",New Delhi,1,Greater Kailash 2 (GK2),28.53379441,77.24248286,110048,1,"Greater Kailash 2 (GK2), New Delhi","Pizza, Italian, Fast Food",11am Ã¢ÂÂ 4am (Mon-Sun),900,2,Rs.,"['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",4.8,Excellent,252,124,0,1,-1,Pizza, Italian, Fast Food,,,,,
18219554,The Coffee Shop,['CafÃÂ©'],https://www.zomato.com/ncr/the-coffee-shop-saket-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"8, PVR Anupam Complex, Community Centre",New Delhi,1,"PVR Anupam Complex, Saket",28.522869500000002,77.20790751,,1,"PVR Anupam Complex, Saket, New Delhi","Cafe, Italian",9 AM to 12 Midnight,1500,3,Rs.,"['Delivery', 'Breakfast', 'Dinner', 'Lunch', 'Credit Card', 'Cash', 'Takeaway Available', 'Debit Card', 'Air Conditioned', 'Wifi', 'All Day Breakfast', 'Wine', 'Beer', 'Table booking not available', 'Indoor Seating']",4.2,Very Good,689,1195,0,-1,-1,Cafe, Italian,,,,,,
18979828,Khanna Tandoori Junction,['Quick Bites'],https://www.zomato.com/ncr/khanna-tandoori-junction-krishna-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"F1/9, Mandir Marg , Krishna Nagar, New Delhi",New Delhi,1,Krishna Nagar,28.65988868,77.28286017,,1,"Krishna Nagar, New Delhi","Chinese, North Indian",11 AM to 12:30 AM,150,1,Rs.,"['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating']",4.2,Very Good,163,146,0,1,-1,Chinese, North Indian,,,,,,
18668024,NicoCaara,['CafÃÂ©'],https://www.zomato.com/ncr/nicocaara-chanakyapuri-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"215, 2nd Floor, Chanakya Mall, Chanakyapuri, New Delhi",New Delhi,1,"Chanakya Mall, Chanakyapuri",28.58425587,77.19057508,110021,1,"Chanakya Mall, Chanakyapuri, New Delhi","Continental, Healthy Food","10 AM to 10 PM (Mon-Thu), 10 AM to 11 PM (Fri-Sun)",1800,3,Rs.,"['Credit Card', 'Debit Card', 'Lunch', 'Mall Parking', 'Delivery', 'Takeaway Available', 'Breakfast', 'Dinner', 'Cash', 'Gluten Free Options', 'Fullbar', 'Table booking recommended', 'Vegan Options', 'Desserts and Bakes', 'Indoor Seating', 'Air Conditioned']",4.1,Very Good,235,240,0,-1,-1,Continental, Healthy Food,,,,,,
18578869,Grand Madras Cafe,['Quick Bites'],https://www.zomato.com/ncr/grand-madras-cafe-kamla-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1604-1605, Chandrawal Road, Kamla Nagar, Kamla Nagar, New Delhi",New Delhi,1,Kamla Nagar,28.67754883,77.20453531,,1,"Kamla Nagar, New Delhi",South Indian,8 AM to 11 PM,250,1,Rs.,"['Dinner', 'Cash', 'Delivery', 'No Alcohol Available', 'Lunch', 'Takeaway Available', 'Pure Veg', 'Indoor Seating', 'Air Conditioned', 'Wifi']",3.8,Good,100,21,0,1,-1,South Indian,,,,,,,
18558920,Burma Burma,['Casual Dining'],https://www.zomato.com/ncr/burma-burma-saket-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"S 25, Second Floor, A 3, Select Citywalk Mall, Saket, New Delhi",New Delhi,1,"Select Citywalk Mall, Saket",28.52850531,77.21873324,,1,"Select Citywalk Mall, Saket, New Delhi","Asian, Burmese","12Noon to 3:30PM, 6:45PM to 11PM (Mon-Thu),12Noon to 11PM (Fri-Sun)",1500,3,Rs.,"['Lunch', 'Cash', 'Dinner', 'Mall Parking', 'Credit Card', 'No Alcohol Available', 'Debit Card', 'Takeaway Available', 'Air Conditioned', 'Pure Veg', 'Kid Friendly', 'Sneakpeek', 'Table booking recommended', 'Serves Jain Food', 'Wifi', 'Indoor Seating']",4.6,Excellent,1564,3257,0,-1,-1,Asian, Burmese,,,,,,
18400736,Owl is Well,[],https://www.zomato.com/ncr/owl-is-well-greater-kailash-gk-1-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Greater Kailash 1 (GK 1), New Delhi",New Delhi,1,Greater Kailash 1 (GK1),28.540458,77.229399,,1,"Greater Kailash 1 (GK1), New Delhi","Pizza, Italian, Continental","12midnight Ã¢ÂÂ 5am, 12noon Ã¢ÂÂ 12midnight (Mon, Wed), 12midnight Ã¢ÂÂ 4:30am, 1pm Ã¢ÂÂ 12midnight (Tue, Thu, Fri, Sat, Sun)",1000,3,Rs.,"['No Seating Available', 'Cash', 'Dinner', 'Delivery']",4.6,Excellent,2050,1685,0,1,-1,Pizza, Italian, Continental,,,,,
18544058,Yum Yum Cha,['Casual Dining'],https://www.zomato.com/ncr/yum-yum-cha-khan-market-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 69, First floor, Middle Lane, Khan Market, New Delhi",New Delhi,1,Khan Market,28.59972425,77.22652338,,1,"Khan Market, New Delhi","Chinese, Japanese, Sushi",12 Noon to 11 PM,1800,3,Rs.,"['Lunch', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Cash', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Digital Payments Accepted']",4.5,Excellent,1030,2223,0,-1,-1,Chinese, Japanese, Sushi,,,,,
310958,Rustom's,['Casual Dining'],https://www.zomato.com/ncr/rustoms-ito-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Delhi Parsi Anjuman, LNJP Colony, Bahadur Shah Zafar Road, Near Maulana Azad Medical College Campus, ITO, New Delhi",New Delhi,1,ITO,28.638116999999998,77.240361,,1,"ITO, New Delhi","Parsi, Street Food, Beverages",9 AM to 10 PM,1500,3,Rs.,"['Breakfast', 'No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Air Conditioned', 'Indoor Seating', 'Table booking recommended']",4.5,Excellent,1563,1857,0,1,-1,Parsi, Street Food, Beverages,,,,,
18597341,The Mughal Trail,[],https://www.zomato.com/ncr/the-mughal-trail-rajouri-garden-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"BK Dutt Market, Rajouri Garden, New Delhi",New Delhi,1,Rajouri Garden,28.631853999999997,77.12834000000001,,1,"Rajouri Garden, New Delhi","North Indian, Mughlai","12 Noon to 5 AM (Mon-Thu), 1 PM to 5 AM (Fri-Sun)",500,2,Rs.,"['Lunch', 'Cash', 'Dinner', 'Delivery']",4.5,Excellent,1246,658,0,1,-1,North Indian, Mughlai,,,,,,
18382342,Noshi - Yum Asian Delivery,[],https://www.zomato.com/ncr/noshi-yum-asian-delivery-greater-kailash-gk-1-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"23, Community Centre, kailash Colony Extension, Greater Kailash 1 (GK 1), New Delhi",New Delhi,1,Greater Kailash 1 (GK1),28.55473999,77.23793384,,1,"Greater Kailash 1 (GK1), New Delhi","Asian, Sushi, Thai, Japanese",Mon-Sun (12 Noon to 11:59 PM),1000,3,Rs.,"['No Seating Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Card Upon Delivery', 'Digital Payments Accepted']",4.5,Excellent,917,587,0,1,-1,Asian, Sushi, Thai, Japanese,,,,
18664346,Purple Greene,['Casual Dining'],https://www.zomato.com/ncr/purple-greene-vasant-kunj-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"T 304, Third Floor, Ambience Mall, Vasant Kunj, New Delhi",New Delhi,1,"Ambience Mall, Vasant Kunj",28.54102306,77.15504419,110070,1,"Ambience Mall, Vasant Kunj, New Delhi","French, Italian, Mediterranean, Mexican, North Indian","12 Noon to 11 PM (Mon-Thu, Sun), 12 Noon to 11:30 PM (Fri-Sat)",2200,4,Rs.,"['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Mall Parking', 'Debit Card', 'Sports TV', 'Indoor Seating', 'Air Conditioned', 'Serves Jain Food', 'Fullbar', 'Table reservation required', 'Wheelchair Accessible', 'Pure Veg', 'Vegan Options']",4.6,Excellent,795,1467,0,1,-1,French, Italian, Mediterranean, Mexican, North Indian,,,
18603777,Orient Heritage,[],https://www.zomato.com/ncr/orient-heritage-malviya-nagar-new-delhi?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 90/61B, Malviya Nagar, New Delhi",New Delhi,1,Malviya Nagar,28.535243599999998,77.21262485,110017,1,"Malviya Nagar, New Delhi","Chinese, Thai, Japanese, Asian, Sushi, PokÃÂ©",11:30 AM Ã¢ÂÂ 12 Midnight,850,2,Rs.,"['Dinner', 'Cash', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card']",4.6,Excellent,1013,1495,0,1,-1,Chinese, Thai, Japanese, Asian, Sushi, PokÃÂ©,,
18472661,Bhookemon,[],https://www.zomato.com/bhookemon?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"F-329, Lado Sarai, Saket, New Delhi",New Delhi,1,Saket,28.52488679,77.1948998,110030,1,"Saket, New Delhi","North Indian, Italian, Pizza",6 PM to 4 AM,800,2,Rs.,"['Dinner', 'Cash', 'Credit Card', 'Delivery', 'Debit Card', 'Digital Payments Accepted']",4.5,Excellent,1432,789,0,1,-1,North Indian, Italian, Pizza,,,,,
